"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051447","negative regulation of meiotic cell cycle","5/768","21/18860",0.238095238095238,5.84697420634921,4.57876214505049,0.00130505673538789,0.0283932395067913,0.0242130702286065,"PKMYT1/OVOL1/KNL1/DUSP1/TRIP13",5
"GO:0033559","unsaturated fatty acid metabolic process","13/768","121/18860",0.107438016528926,2.63838670798898,3.72505377165939,0.00130936833620849,0.0283932395067913,0.0242130702286065,"CYP4F12/GSTM2/ELOVL3/CTHRC1/ABCD1/PTGDS/ALOX12B/SCD/PTGIS/AWAT1/CYP4F3/AKR1C1/CES2",13
"GO:0034508","centromere complex assembly","6/768","31/18860",0.193548387096774,4.75302419354839,4.30868985356348,0.00137556428965958,0.0296949169974046,0.0253231094154939,"CENPN/CENPF/HJURP/CENPA/DLGAP5/CENPI",6
"GO:0060421","positive regulation of heart growth","7/768","42/18860",0.166666666666667,4.09288194444444,4.13426115707961,0.00140352123569431,0.0301631751278233,0.0257224286616909,"CCNB1/IGF1/AKAP6/TBX5/ACACB/ERBB4/YAP1",7
"GO:1902749","regulation of cell cycle G2/M phase transition","13/768","122/18860",0.10655737704918,2.61676058743169,3.69114122961426,0.00141225760092784,0.0302146260824138,0.0257663047955336,"PLK1/FHL1/PKMYT1/CCNB1/CLSPN/DTL/CENPF/CDC6/AURKB/AURKA/CDC25A/KIF14/TICRR",13
"GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","16/768","168/18860",0.0952380952380952,2.33878968253968,3.59116832813944,0.00141846811271822,0.0302146260824138,0.0257663047955336,"CELSR3/DSC1/HMCN2/CADM3/FAT2/DSG3/CDHR1/FAT3/FAT4/CDH2/DSG1/PCDH20/CEACAM6/PCDH17/CDH13/DSC3",16
"GO:0007517","muscle organ development","28/768","373/18860",0.0750670241286863,1.84344280607685,3.38979538749924,0.00144876200193899,0.0305171599633446,0.0260242983965722,"SOX11/DES/MYOCD/FHL1/ITGA7/TEAD4/IGF1/H1-5/CXCL10/PITX1/COL11A1/CENPF/SVIL/MYLK/JPH2/LAMA2/MYORG/CITED2/POPDC2/USP2/CAV1/BARX2/ATF3/PAX5/FGFRL1/TAGLN/NKX2-5/TPM1",28
"GO:0007144","female meiosis I","4/768","13/18860",0.307692307692308,7.55608974358974,4.87182973098933,0.00145295000886231,0.0305171599633446,0.0260242983965722,"AURKA/BRME1/CCNB2/TRIP13",4
"GO:0043568","positive regulation of insulin-like growth factor receptor signaling pathway","4/768","13/18860",0.307692307692308,7.55608974358974,4.87182973098933,0.00145295000886231,0.0305171599633446,0.0260242983965722,"IGF1/IGFBP5/IGFBP4/MYORG",4
"GO:0044703","multi-organism reproductive process","19/768","217/18860",0.0875576036866359,2.15017761136713,3.51102181209989,0.00145802799991052,0.0305171599633446,0.0260242983965722,"TEAD4/WNT4/SPP1/ESR1/PAPPA/IGFBP5/FBN2/PGR/PTGFR/IL11RA/CITED2/HAVCR2/DSG1/FOSB/PTGIS/TPPP3/MMP9/PARP1/STC2",19
