"SYMBOL","log2FoldChange","padj","has_FOXA1","n_miRNAs","top_miRNA","direction"
"TACC2",-1.99543982253265,0.000449625239467514,TRUE,185,"hsa-let-7a-5p","Downregulated"
"APOB",-3.87089524750789,0.000459715200501105,TRUE,74,"hsa-let-7a-5p","Downregulated"
"MMRN1",-3.06538115860025,0.000459715200501105,TRUE,42,"hsa-let-7a-5p","Downregulated"
"PALMD",-2.11585338115587,0.000466638784690036,TRUE,25,"hsa-miR-106a-5p","Downregulated"
"GBP6",-3.49948873709227,0.000468537248522411,TRUE,33,"hsa-let-7a-5p","Downregulated"
"GINS4",2.448163885615,0.000469212277957469,TRUE,90,"hsa-let-7a-5p","Upregulated"
"MYLK",-1.95175037231551,0.000469423281364491,TRUE,165,"hsa-let-7a-5p","Downregulated"
"COL7A1",-2.11646690485711,0.000490423738430384,TRUE,48,"hsa-let-7b-5p","Downregulated"
"CHST6",2.81417521182652,0.000492449757317766,TRUE,119,"hsa-let-7a-5p","Upregulated"
"E2F3",1.56689402263543,0.000492858412454105,TRUE,353,"ebv-miR-BART4-5p","Upregulated"
"H2BC17",3.03973589942175,0.000499531848991859,TRUE,55,"hsa-let-7c-5p","Upregulated"
"CPAMD8",-1.63430157110385,0.000514781447285409,TRUE,10,"hsa-miR-10a-5p","Downregulated"
"PGR",-2.93076440636439,0.000528746559770144,TRUE,68,"hsa-let-7a-5p","Downregulated"
"GLYATL2",3.7672719947252,0.000534276681106061,TRUE,1,"hsa-miR-27a-3p","Upregulated"
"MAPKBP1",-1.29355267327516,0.000534276681106061,TRUE,147,"hsa-let-7a-5p","Downregulated"
"PAQR4",2.16412335777354,0.000537179871154408,TRUE,68,"hsa-let-7a-5p","Upregulated"
"ILDR2",3.96827706289389,0.000542089906135559,TRUE,66,"hsa-let-7a-5p","Upregulated"
"LHFPL6",-1.71108410668116,0.000548629366163912,TRUE,64,"hsa-let-7a-2-3p","Downregulated"
"PLPP3",-1.3582745397098,0.000563194807549148,TRUE,165,"hsa-let-7b-5p","Downregulated"
"CCL27",-4.83110480020408,0.000569688153165196,TRUE,4,"hsa-miR-101-3p","Downregulated"
"ATOH8",-1.83689920819642,0.000571188828211833,TRUE,47,"hsa-let-7i-5p","Downregulated"
"GAS7",-1.74731488667016,0.000571188828211833,TRUE,146,"hsa-let-7a-5p","Downregulated"
"UBXN10",-2.10069763002786,0.000585032892868334,TRUE,22,"hsa-let-7a-5p","Downregulated"
"RDH12",-3.77967234312304,0.000588812079953102,TRUE,2,"hsa-miR-1843","Downregulated"
"CHAF1B",2.87027295172853,0.00059078634372796,TRUE,120,"hsa-let-7a-5p","Upregulated"
"MEG3",-1.22403877217419,0.000592311157345097,TRUE,11,"hsa-miR-125a-5p","Downregulated"
"LAGE3",1.63185679392558,0.000595719389105327,TRUE,28,"hsa-let-7a-5p","Upregulated"
"DGAT2",-3.26309331911222,0.000611637262050612,TRUE,51,"hsa-let-7a-5p","Downregulated"
"MYOF",-1.57239206004545,0.000633571838977604,TRUE,231,"hsa-let-7a-5p","Downregulated"
"ABCA8",-2.59647727920487,0.000635005694974296,TRUE,37,"hsa-let-7a-5p","Downregulated"
"CP",3.61471859696552,0.000635084242508345,TRUE,63,"hsa-let-7a-5p","Upregulated"
"CXCL12",-1.78117696634909,0.000635084242508345,TRUE,96,"hsa-let-7a-5p","Downregulated"
"GRIK5",-2.39219296689884,0.000637294673303803,TRUE,27,"hsa-let-7g-5p","Downregulated"
"PCSK2",-5.84900634651628,0.000672436104958728,TRUE,121,"hsa-let-7a-5p","Downregulated"
