Geneid	SRR15852399_SRR15852399	SRR15852394_SRR15852394	SRR15852395_SRR15852395	SRR15852400_SRR15852400	SRR15852407_SRR15852407	SRR15852409_SRR15852409	SRR15852426_SRR15852426	SRR15852427_SRR15852427	SRR15852429_SRR15852429	SRR15852432_SRR15852432	SRR15852435_SRR15852435	SRR15852438_SRR15852438
IGBP1P2	2	0	0	0	0	0	1	0	0	2	1	0
IGBP1P3	0	0	0	0	0	3	0	0	0	0	0	0
IGBP1P4	0	0	0	0	0	0	2	0	2	0	0	0
IGBP1P5	0	0	0	0	0	0	0	0	0	0	0	0
IGDCC3	3	0	0	1	13	3	10	8	1	0	5	2
IGDCC4	130	9	0	141	27	195	135	84	100	154	160	178
IGF1	52	9	0	47	59	128	507	411	156	1071	583	175
IGF1R	709	193	3	2187	370	1975	2739	1225	1699	1496	2002	2668
IGF2	40	39	0	171	19	45	85	61	87	39	62	267
IGF2-AS	0	0	0	4	0	0	3	0	4	0	3	5
IGF2BP1	8	5	0	3	31	3	0	0	0	0	0	0
IGF2BP2	12	1	0	23	174	61	23	69	50	53	65	75
IGF2BP2-AS1	1	0	0	3	12	1	1	5	1	7	3	10
IGF2BP3	1	0	0	6	6	1	3	0	0	0	1	4
IGF2R	1415	293	4	646	1728	1140	1369	953	923	1292	1126	1335
IGFALS	31	16	0	20	19	48	33	25	35	19	76	37
IGFBP-AS1	1	0	0	2	4	24	13	11	12	18	29	18
IGFBP1	0	0	0	0	0	0	4	0	0	1	0	8
IGFBP2	49	13	0	501	265	244	246	189	102	182	210	492
IGFBP3	190	61	1	160	192	123	186	475	495	610	258	377
IGFBP4	1859	791	4	1619	997	2499	2947	5008	3968	10615	9145	7448
IGFBP5	1441	452	1	895	789	2855	2605	8469	5183	27559	7689	3729
IGFBP6	43	6	0	32	46	91	109	246	153	787	282	685
IGFBP7	539	627	30	701	333	541	391	422	609	866	748	863
IGFBP7-AS1	8	10	0	20	3	4	5	4	17	10	22	20
IGFBPL1	6	0	0	4	273	7	0	8	5	5	5	3
IGFL1	3	0	0	0	0	5	0	12	19	5	10	0
IGFL1P1	0	0	0	0	0	0	0	0	0	0	0	0
IGFL1P2	1	0	0	0	0	0	0	0	0	0	0	0
IGFL2	11	0	0	0	12	6	5	191	215	67	151	14
IGFL2-AS1	1	0	0	0	0	2	2	27	22	6	23	1
IGFL3	1	0	0	0	0	0	0	19	19	11	14	1
IGFL4	1	3	0	0	9	0	0	33	20	12	32	4
IGFLR1	89	16	0	42	72	51	37	40	34	15	57	65
IGFN1	11	0	0	26	8	55	92	73	67	233	171	67
IGH	0	0	0	0	0	0	0	0	0	0	0	0
IGHA1	0	0	0	2	1	0	9	0	0	0	5	27
IGHA2	167	11	0	2127	159	153	3261	470	78	126	816	8633
IGHD	0	0	0	0	0	0	0	0	0	0	0	0
IGHD1-1	0	0	0	0	0	0	0	0	0	0	0	0
IGHD1-14	0	0	0	0	0	0	0	0	0	0	0	0
IGHD1-20	0	0	0	0	0	0	0	0	0	0	0	0
IGHD1-26	0	0	0	0	0	0	0	0	0	0	0	0
IGHD1-7	0	0	0	0	0	0	0	0	0	0	0	0
IGHD2-15	0	0	0	0	0	0	0	0	0	0	0	0
IGHD2-2	0	0	0	0	0	0	0	0	0	0	0	0
IGHD2-21	0	0	0	0	0	0	0	0	0	0	0	0
IGHD2-8	0	0	0	0	0	0	0	0	0	0	0	0
IGHD3-10	0	0	0	0	0	0	0	0	0	0	0	0
IGHD3-16	0	0	0	0	0	0	0	0	0	0	0	0
IGHD3-22	0	0	0	0	0	0	0	0	0	0	0	0
IGHD3-3	0	0	0	0	0	0	0	0	0	0	0	0
IGHD3-9	0	0	0	0	0	0	0	0	0	0	0	0
IGHD4-11	0	0	0	0	0	0	0	0	0	0	0	0
IGHD4-17	0	0	0	0	0	0	0	0	0	0	0	0
IGHD4-23	0	0	0	0	0	0	0	0	0	0	0	0
IGHD4-4	0	0	0	0	0	0	0	0	0	0	0	0
IGHD5-12	0	0	0	0	0	0	0	0	0	0	0	0
IGHD5-18	0	0	0	0	0	0	0	0	0	0	0	0
IGHD5-24	0	0	0	0	0	0	0	0	0	0	0	0
IGHD5-5	0	0	0	0	0	0	0	0	0	0	0	0
IGHD5OR15-5B	0	0	0	0	0	0	0	0	0	0	0	0
IGHD6-13	0	0	0	0	0	0	0	0	0	0	0	0
IGHD6-19	0	0	0	0	0	0	0	0	0	0	0	0
IGHD6-25	0	0	0	0	0	0	0	0	0	0	0	0
IGHD6-6	0	0	0	0	0	0	0	0	0	0	0	0
IGHD7-27	0	0	0	0	0	0	0	0	0	0	0	0
IGHE	0	0	0	0	1	0	0	0	0	0	1	0
IGHEP1	0	0	0	0	0	0	0	0	0	0	0	0
IGHEP2	10	0	0	10	20	15	19	11	18	7	17	47
IGHG1	0	0	0	2	1	0	0	0	0	0	0	0
